;;BELSHINA; BELSHINA  аек-256 ;185;60; 14   ;керн-бяеяегнмйю;;;;;1350;1230;;28;;;
;; BARUM   ; BARUM  BRILLANTIS  2  82р ;185;60; 14   ;керн-бяеяегнмйю;;;;;1950;1764;;4;;;
;;HANKOOK; HANKOOK  K424  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1410;1290;;0;;;
;;AMTEL; AMTEL  T-301  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1320;1200;;0;;;
;;BFGOODRICH; BFGOODRICH  G-GRIP  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1440;1290;;0;;;
;; MICHELIN     ; MICHELIN  ENERGY  XM2  82T ;185;60; 14   ;керн-бяеяегнмйю;;;;;2550;2340;;28;;;
;;KOPMORAN; KOPMORAN  IMPULSER  B3  82T   ;185;60; 14   ;керн-бяеяегнмйю;;;;;1800;1620;;8;;;
;; MICHELIN   ; MICHELIN  ENERGY  SAVER  82T ;185;60; 14   ;керн-бяеяегнмйю;;;;;1800;1650;;0;;;
;;CONTINENTAL; CONTINENTAL  ContiPremiumContact  5    82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1800;1710;;0;;;
;;HANKOOK; HANKOOK  H424  82V ;185;60;14;керн-бяеяегнмйю;;;;;1620;1500;;0;;;
;;NEXEN; NEXEN  NBLUE  HD  82 ;185;60; 14   ;керн-бяеяегнмйю;;;;;1275;1170;;0;;;
;;TOYO; TOYO  VARIO  V2+  82T ;185;60; 14   ;керн-бяеяегнмйю;;;;;2340;2139;;8;;;
;;FULDA; FULDA  ECOCONTROL  82T ;185;60; 14   ;керн-бяеяегнмйю;;;;;2100;1920;;4;;;
;;KLEBER; KLEBER  QUADRAXER  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1650;1545;;0;;;
;;KLEBER; KLEBER  DYNAXER  HP3  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;2100;1881;;7;;;
;;YOKOHAMA; YOKOHAMA  AC02  82H ;185;60;14;керн-бяеяегнмйю;;;;;2340;2214;;8;;;
;;YOKOHAMA; YOKOHAMA  AA01  82T ;185;60;14;керн-бяеяегнмйю;;;;;0;0;;0;;;
;;CORDIANT; CORDIANT  ROAD  RUNNER  RS-1  86H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1575;1425;;2;;;
;;CORDIANT; CORDIANT  COMFORT  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1575;1425;;20;;;
;;CORDIANT; CORDIANT  SPORT  2  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1575;1440;;0;;;
;;CORDIANT; CORDINAT  SPORT  TL  MATADOR-OMSKSHINA ;185;60; 14   ;керн-бяеяегнмйю;;;;;1500;1365;;0;;;
;;GOODYEAR; GOODYEAR  EFFICIENTGRIP  COMPACT  82T ;185;60;14;керн-бяеяегнмйю;;;;;2400;2214;;6;;;
;;BRIDGESTONE; BRIDGESTONE  MY-02  Sporty  Style    82H  TL ;185;60; 14   ;керн-бяеяегнмйю;;;;;2250;2100;;8;;;
;;BRIDGESTONE; BRIDGESTONE  Turanza  T001  82H  TL   ;185;60; 14   ;керн-бяеяегнмйю;;;;;2460;2310;;4;;;
;;KUMHO; KUMHO  ECSTA  KH11  82V ;185;60; 14   ;керн-бяеяегнмйю;;;;;1950;1800;;12;;;
;;KUMHO; KUMHO  ECSTA  SPT  KU31  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;2025;1875;;20;;;
;;KUMHO; KUMHO  KR26  82H ;185;60;14;керн-бяеяегнмйю;;;;;1875;1725;;20;;;
;;KUMHO; KUMHO  KH17 ;185;60; 14   ;керн-бяеяегнмйю;;;;;1875;1725;;0;;;
;;ZETUM; ZETUM  KH26  82H    (KUMHO) ;185;60;14;керн-бяеяегнмйю;;;;;1740;1623;;20;;;
;;MARSHAL; MARSHAL  82H  MH11  TL   ;185;60; 14   ;керн-бяеяегнмйю;;;;;1875;1650;;20;;;
;;SAVA; SAVA  PERFECTA  82T ;185;60; 14   ;керн-бяеяегнмйю;;;;;1200;1125;;0;;;
;;SAVA; SAVA  Intensa  HP  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;0;0;;0;;;
;; MICHELIN     ; MICHELIN  ENERGY  XM2  86T ;185;65;14;керн-бяеяегнмйю;;;;;1950;1800;;0;;;
;;SAVA; SAVA  PERFECTA  86T ;185;65;14;керн-бяеяегнмйю;;;;;1950;1770;;6;;;
;; BARUM   ; BARUM  BRILLANTIS  2  86р ;185;65;14;керн-бяеяегнмйю;;;;;1950;1800;;2;;;
;;MATADOR; MATADOR  MP16  86T ;185;65; 14   ;керн-бяеяегнмйю;;;;;1950;1734;;2;;;
;;FULDA; FULDA  ECOCONTROL  86T ;185;65; 14   ;керн-бяеяегнмйю;;;;;2100;1950;;2;;;
;;BELSHINA; BELSHINA  ArtMotionАЕК254 ;185;65; 14   ;керн-бяеяегнмйю;;;;;1440;1314;;0;;;
;;BELSHINA; BELSHINA  аек-94 ;185;65; 14   ;керн-бяеяегнмйю;;;;;1350;1290;;64;;;
;;BELSHINA; BELSHINA  аек157 ;185;65; 14   ;керн-бяеяегнмйю;;;;;1080;1005;;0;;;
;;KAMA; йюлю  EURO  236  86H ;185;65; 14   ;керн-бяеяегнмйю;;;;;1350;1275;;1;;;
;;KAMA; йюлю  EURO  129  86H ;185;65; 14   ;керн-бяеяегнмйю;;;;;1500;1395;;4;;;
;;DEBICA; DEBICA  NAVIGATOR  2  86T  M+S ;185;65; 14   ;керн-бяеяегнмйю;;;;;1995;1845;;12;;;
;;ZETUM; ZETUM  KH26  82H    (KUMHO) ;185;65; 14   ;керн-бяеяегнмйю;;;;;1800;1605;;40;;;
;; ROSAVA   ; ROSAVA  SQ-201  82H ;185;65; 14   ;керн-бяеяегнмйю;;;;;1350;1218;;20;;;
;; ROSAVA   ; ROSAVA  S-49  QUARTUM ;185;65; 14   ;керн-бяеяегнмйю;;;;;1275;1185;;28;;;
;;PRIMEORI; PREMIORRI  SOLAZO   ;185;65; 14   ;керн-бяеяегнмйю;;;;;1575;1425;;0;;;
;;CORDIANT; CORDIANT  ROAD  RUNNER  RS-1  86H ;185;65; 14   ;керн-бяеяегнмйю;;;;;1260;1200;;0;;;
;;CORDIANT; CORDINAT  SPORT  2  86H ;185;65; 14   ;керн-бяеяегнмйю;;;;;1260;1200;;0;;;
;;CORDIANT; CORDINAT  COMFORT  86H ;185;65; 14   ;керн-бяеяегнмйю;;;;;1260;1200;;0;;;
;;CORDIANT; CORDINAT  SPORT  86H ;185;65; 14   ;керн-бяеяегнмйю;;;;;1500;1380;;0;;;
;;DIPLOMAT; DIPLOMAT  T  88H ;185;65; 14   ;керн-бяеяегнмйю;;;;;1260;1110;;0;;;
;;VREDESTEIN; VREDESTEIN  T-TRAC  SI  82T ;185;65; 14   ;керн-бяеяегнмйю;;;;;1440;1290;;0;;;
;; KLEBER   ; KLEBER  DYNAXER  HP3  86T ;185;65; 14   ;керн-бяеяегнмйю;;;;;1350;1293;;0;;;
;;KUMHO; KUMHO  ECSTA  SPT  KU31  82H ;185;65; 14   ;керн-бяеяегнмйю;;;;;2100;1950;;20;;;
;;KUMHO; KUMHO  KR26  86H ;185;65;14;керн-бяеяегнмйю;;;;;1950;1800;;2;;;
;;BRIDGESTONE; BRIDGESTONE  EP-150  86H ;185;65;14;керн-бяеяегнмйю;;;;;2550;2340;;12;;;
;;HANKOOK; HANKOOK  K425   ;185;65; 14   ;керн-бяеяегнмйю;;;;;1560;1425;;0;;;
;;CORDIANT; CORDINAT  SPORT  TL  88T ;185;70; 14   ;керн-бяеяегнмйю;;;;;1575;1500;;0;;;
;;CORDIANT; CORDIANT  ROAD  RUNNER  RS-1  88H ;185;70; 14   ;керн-бяеяегнмйю;;;;;1440;1350;;0;;;
;;FULDA; FULDA  ECOCONTROL   ;185;70; 14   ;керн-бяеяегнмйю;;;;;1590;1485;;0;;;
;; BARUM   ; BARUM  BRILLANTIS  2  88T ;185;70; 14   ;керн-бяеяегнмйю;;;;;1950;1728;;4;;;
;;KUMHO; KUMHO  KR26  88р ;185;70; 14   ;керн-бяеяегнмйю;;;;;1950;1875;;6;;;
;;DEBICA; DEBICA  NAVIGATOR  2   ;185;70; 14   ;керн-бяеяегнмйю;;;;;1500;1380;;0;;;
;;KAMA; йюлю  204   ;185;70; 14   ;керн-бяеяегнмйю;;;;;1425;1275;;8;;;
;;BELSHINA; BELSHINA  аек  97 ;185;70; 14   ;керн-бяеяегнмйю;;;;;1410;1320;;44;;;
;;BELSHINA; BELSHINA  аек113 ;185;70; 14   ;керн-бяеяегнмйю;;;;;1380;1275;;12;;;
;;ROSAVA; ROSAVA  аж-40 ;195;70;14;керн-бяеяегнмйю;;;;;1650;1515;;12;;;
;;HANKOOK; HANKOOK  K424  91H ;195;70;14;керн-бяеяегнмйю;;;;;2580;2400;;4;;;
;;BELSHINA; BELSHINA  аек-59 ;205;70; 14   ;керн-бяеяегнмйю;;;;;1950;1740;;40;;;
;;ROSAVA; ROSAVA  аж-1 ;205;70; 14   ;керн-бяеяегнмйю;;;;;1875;1695;;44;;;
;;ROSAVA; ROSAVA  аж-16 ;205;70; 14   ;керн-бяеяегнмйю;;;;;1875;1695;;56;;;
;;MICHELIN; MICHELIN  X-RADIAL  93S ;205;70;14;керн-бяеяегнмйю;;;;;2850;2691;;4;;;
;;PRIMEORI; PREMIORRI  SOLAZO   ;185;55; 15   ;керн-бяеяегнмйю;;;;;1800;1575;;24;;;
;;KUMHO; KUMHO  ECSTA  SPT  KU31  82H ;185;55; 15   ;керн-бяеяегнмйю;;;;;2550;2400;;4;;;
;;NEXEN; NEXEN  CP641  82V ;185;55; 15   ;керн-бяеяегнмйю;;;;;1590;1440;;0;;;
;;KUMHO; KUMHO  KR26  84H ;185;60; 15   ;керн-бяеяегнмйю;;;;;2250;2100;;4;;;
;;KAMA; KAMA  EVRO-236 ;185;60; 15   ;керн-бяеяегнмйю;;;;;1575;1425;;8;;;
;;PRIMEORI; PREMIORRI  SOLAZO   ;185;60; 15   ;керн-бяеяегнмйю;;;;;1800;1545;;24;;;
;; BARUM   ; BARUM    BRILLIANTIS  2  84H ;185;60; 15   ;керн-бяеяегнмйю;;;;;2490;2340;;8;;;
;;MICHELIN; MICHELIN  ENERGY  XM2  84H ;185;60;15;керн-бяеяегнмйю;;;;;3150;2952;;4;;;
;;MICHELIN; MICHELIN  ENERGY  XM2  88T ;185;65; 15   ;керн-бяеяегнмйю;;;;;0;0;;0;;;
;; KAMA   ; KAMA  EVRO-236 ;185;65; 15   ;керн-бяеяегнмйю;;;;;1665;1485;;8;;;
;;MARSHAL; MARSHAL  92T  MH11  TL   ;185;65; 15   ;керн-бяеяегнмйю;;;;;2100;1950;;0;;;
;; BARUM   ; BARUM    BRILLIANTIS    88T ;185;65; 15   ;керн-бяеяегнмйю;;;;;1500;1350;;0;;;
;;BRIDGESTONE; BRIDGESTONE  EP-150  86H ;185;65; 15   ;керн-бяеяегнмйю;;;;;2400;2250;;4;;;
;;HANKOOK; HANKOOK  VENTUS  V12  EVO  K110  82V ;195;50; 15   ;керн-бяеяегнмйю;;;;;2400;2250;;0;;;
;;HANKOOK; HANKOOK  OPTIMO  K425  KINERGY  ECO  82H ;195;50; 15   ;керн-бяеяегнмйю;;;;;1650;1545;;0;;;
;;HANKOOK; HANKOOK  VENTUS  PRIME2  K115  82H ;195;50; 15   ;керн-бяеяегнмйю;;;;;2250;2028;;2;;;
;;ACCELERA; ACCELERA  ALPHA  82V ;195;50;15;керн-бяеяегнмйю;;;;;2100;1950;;0;;;
;;YOKOHAMA; YOKOHAMA  PA01  82V ;195;50; 15   ;керн-бяеяегнмйю;;;;;2100;1950;;0;;;
;;MICHELIN; MICHELIN  PE2  82H ;195;50; 15   ;керн-бяеяегнмйю;;;;;3150;2850;;4;;;
;;MICHELIN; MICHELIN  PILOT  SPORT  3  82V ;195;50; 15   ;керн-бяеяегнмйю;;;;;3150;2850;;0;;;
;; BARUM   ; BARUM  BRAVURIS  3  82H ;195;50; 15   ;керн-бяеяегнмйю;;;;;2250;2028;;2;;;
;;KUMHO; KUMHO  ECSTA  SPT  KU31  82H ;195;50; 15   ;керн-бяеяегнмйю;;;;;2400;2250;;8;;;
;;BRIDGESTONE; BRIDGESTONE  TURANZA  T001  82V ;195;50; 15   ;керн-бяеяегнмйю;;;;;1800;1650;;0;;;
;;BRIDGESTONE; BRIDGESTONE  TURANZA  T001  82H ;195;50; 15   ;керн-бяеяегнмйю;;;;;1800;1650;;0;;;
;;KOPMORAN; KOPMORAN  GAMMA  B2  82V ;195;50; 15   ;керн-бяеяегнмйю;;;;;0;0;;0;;;
